tweet_id,topic_category,tweet_timestamp,sentiment_score,positive_score,negative_score,neutral_score,impressions,likes,engagement_count
T36841,Cloud,07-01-2025 19:01,0.912376086,0.381988998,0.934702541,0.125657227,6126.0,24.0,
T27424,Cloud,08-01-2025 19:02,0.904795167,0.583384394,0.159876995,0.299313398,8630.0,4873.0,541.0
T31365,Cloud,04-01-2025 11:51,0.976751897,0.057764811,0.660596526,0.643261617,15985.0,940.0,973.0
T33361,Sports,02-01-2025 11:00,0.165869516,0.812630732,0.954412139,0.789351236,,4815.0,241.0
T35147,Sports,21-01-2025 17:06,-0.038402341,0.845799773,0.91528097,0.685045982,1760.0,4327.0,678.0
T35107,AI,09-01-2025 15:50,-0.440088528,0.038703165,0.120721452,0.969653285,3340.0,4690.0,657.0
T39614,Sports,,0.519327259,0.140576522,0.470191614,,123.0,3396.0,959.0
T25529,AI,12-01-2025 17:23,0.204135828,0.231063306,0.346975728,0.35930797,17237.0,,78.0
T9125,Cloud,04-01-2025 06:11,0.733573789,0.765106483,0.761823891,0.027961238,11856.0,3466.0,146.0
T30613,Finance,23-01-2025 09:04,0.357681081,0.400286448,0.432258961,0.933616025,3929.0,2886.0,961.0
,Finance,01-01-2025 20:13,-0.99548204,0.101011215,0.590199806,0.505509394,3933.0,2240.0,785.0
T4106,Finance,01-01-2025 23:36,-0.35507254,0.78987777,0.34710544,0.361751462,9422.0,660.0,690.0
T15676,Finance,21-01-2025 06:55,0.198180523,0.789369911,0.397394802,0.954437523,16070.0,3933.0,885.0
T23144,Cloud,01-01-2025 21:24,-0.885504267,0.219945628,0.332870123,0.187233901,18845.0,1992.0,587.0
T18261,Sports,16-01-2025 13:09,-0.148659513,0.662053019,0.227079705,,19131.0,1396.0,877.0
T20095,Finance,08-01-2025 12:19,-0.009259798,0.694199362,0.855100181,0.926448977,10359.0,2653.0,933.0
T37460,Cloud,09-01-2025 19:00,0.195360824,0.576168599,0.320793418,0.75767775,12523.0,3880.0,
T10765,Cloud,19-01-2025 03:02,0.322538097,0.432226565,0.163433833,0.119459779,,4032.0,11.0
T20442,,03-01-2025 23:09,-0.594617447,0.654676905,0.4784732,0.742853125,6557.0,3616.0,
T19771,,19-01-2025 12:12,0.052831023,0.839345882,0.888977853,0.640997776,5819.0,1806.0,307.0
T78,,03-01-2025 19:33,0.516115807,0.207563472,0.39258704,0.595193703,7082.0,3231.0,389.0
T988,AI,03-01-2025 22:12,-0.04231577,0.209973959,0.296646866,0.231818772,1001.0,1943.0,
T11911,Finance,10-01-2025 04:45,0.170173862,0.985778293,0.679645766,0.614720433,6718.0,4168.0,277.0
T37761,Finance,23-01-2025 05:11,-0.864318603,0.744907085,0.106615506,0.671782606,,433.0,587.0
T31221,Sports,03-01-2025 14:47,0.176177977,0.009119102,0.0959595,0.434865118,12878.0,1938.0,661.0
T5706,Finance,13-01-2025 13:17,-0.325156646,0.691949725,,0.891722159,10287.0,1600.0,708.0
T2215,Sports,02-01-2025 23:34,0.551670149,0.405335591,0.169833607,0.906375966,9200.0,4920.0,476.0
T21910,AI,19-01-2025 20:18,-0.320609339,0.365609755,0.860321936,0.94834786,8508.0,3125.0,700.0
T25687,Sports,07-01-2025 02:51,0.590156343,0.696905082,0.385442046,0.705367302,12167.0,1911.0,13.0
T2793,Finance,12-01-2025 15:41,-0.493819796,0.860401275,0.569405636,0.976640601,3103.0,4646.0,379.0
T24939,Sports,19-01-2025 09:35,-0.949326061,0.909516942,0.371828089,0.848989906,19592.0,1249.0,153.0
T17789,Finance,01-01-2025 20:31,0.948876129,0.863084776,0.032428396,0.617706337,7682.0,835.0,709.0
T99,Sports,14-01-2025 01:01,0.503982246,0.393982851,0.480791114,0.209648132,7898.0,2577.0,705.0
T5503,AI,14-01-2025 19:58,-0.845342102,0.278048733,0.464486256,0.946996117,10454.0,4378.0,992.0
T14515,Sports,08-01-2025 06:28,-0.998713806,0.04614356,0.077754956,0.984041984,13752.0,3146.0,82.0
T19354,Cloud,23-01-2025 09:06,0.94312891,0.734793727,0.397723035,0.110233146,3869.0,2470.0,147.0
T30429,AI,07-01-2025 16:13,,0.212288687,0.119901514,0.644821471,1199.0,1694.0,541.0
T28892,Sports,04-01-2025 06:39,-0.907170733,0.925684449,0.404739001,0.585224003,,4470.0,121.0
T8844,Cloud,18-01-2025 17:35,-0.862536124,0.521465088,0.938007263,0.27005732,7582.0,274.0,450.0
T17209,Finance,07-01-2025 00:23,-0.569811256,0.845669975,0.318650987,0.153003643,10069.0,2962.0,935.0
T1694,Sports,23-01-2025 11:45,-0.416337874,0.605970626,0.120273445,0.318430069,7464.0,2417.0,217.0
T27468,Sports,12-01-2025 21:56,0.133774786,0.045435773,0.757469918,0.104616143,5617.0,,995.0
,Sports,19-01-2025 18:34,0.096293993,0.926627794,0.937142891,0.986180234,346.0,2754.0,277.0
T15440,Cloud,19-01-2025 07:10,-0.344770961,0.145305393,0.835163793,0.833935038,17395.0,1838.0,
T17557,Sports,09-01-2025 07:42,-0.991367504,0.275577793,0.241676992,0.476033956,2803.0,2155.0,377.0
T21804,AI,23-01-2025 18:52,-0.866514206,0.965673979,,0.197877968,17228.0,728.0,717.0
T15719,AI,23-01-2025 15:36,-0.087333078,0.207164521,0.431702345,0.548242463,6109.0,3563.0,
T17771,Sports,18-01-2025 18:26,0.814963498,0.312594858,0.253527913,0.537994755,11726.0,4812.0,789.0
T12603,Sports,03-01-2025 02:35,,0.838826337,0.508828552,0.811560625,3144.0,26.0,932.0
,AI,02-01-2025 04:05,-0.342054244,0.333554455,0.451538833,0.897206301,1177.0,816.0,320.0
T5659,Sports,10-01-2025 13:32,0.260684365,0.54604525,,0.121846548,593.0,2131.0,6.0
,Cloud,17-01-2025 10:22,0.799977822,0.297470507,0.827209112,0.508975754,215.0,1525.0,207.0
T24576,AI,23-01-2025 11:10,-0.374946948,0.508326329,0.414527893,0.661231982,12140.0,4670.0,593.0
T21640,Cloud,07-01-2025 13:38,-0.61423231,0.57710826,0.350816315,0.658347185,8693.0,2720.0,410.0
T240,Sports,03-01-2025 08:21,-0.724091806,0.699386199,0.835768519,0.11407844,4978.0,4877.0,789.0
,Cloud,07-01-2025 21:07,-0.324213359,0.059602718,0.713971639,0.670594866,2425.0,3764.0,542.0
T35474,Finance,14-01-2025 21:29,-0.914747595,0.62578539,0.018496265,0.53210412,5504.0,136.0,551.0
T27922,Finance,07-01-2025 13:48,-0.584338761,0.172595539,,0.434202853,7000.0,1080.0,709.0
T13215,Finance,05-01-2025 02:36,-0.416756185,0.597301371,0.765704373,0.264623757,13756.0,1359.0,228.0
T11263,Cloud,01-01-2025 19:25,,0.579523151,0.740708046,0.144123423,9261.0,3415.0,871.0
T5287,Sports,17-01-2025 16:27,-0.143384121,0.288080168,0.098246861,0.402420933,13115.0,3330.0,917.0
T9355,Finance,16-01-2025 02:27,0.319152563,0.253983407,0.061901194,0.657532258,1577.0,4800.0,865.0
T34387,Finance,13-01-2025 16:18,-0.971515538,0.257751542,0.035447219,0.092571721,10352.0,3035.0,292.0
T33999,Cloud,20-01-2025 12:53,0.274385061,0.91469308,0.071783411,0.764074315,576.0,511.0,193.0
T9839,Cloud,23-01-2025 16:36,-0.733291049,0.079915564,0.505996957,0.441959467,4587.0,2884.0,70.0
T11563,AI,09-01-2025 08:11,0.413647129,0.128468566,0.790862118,0.472580468,1657.0,,870.0
T10617,,10-01-2025 09:44,0.964409302,0.150071571,0.304492657,0.77092716,18994.0,3905.0,823.0
T3028,Sports,18-01-2025 19:48,-0.608101248,0.77883527,0.16571858,0.481512347,6082.0,1624.0,455.0
T11961,AI,02-01-2025 21:26,0.418904522,0.879296598,0.999347773,0.278843895,3362.0,4659.0,187.0
T2081,Sports,04-01-2025 14:33,-0.196271343,0.570225395,0.451584401,0.852578752,17064.0,4464.0,491.0
T6079,Sports,08-01-2025 06:35,0.214357997,0.84011624,0.3394446,0.670014609,6309.0,1090.0,238.0
T18602,Cloud,05-01-2025 19:48,-0.221283338,0.729228151,0.859165234,0.584256168,17405.0,4530.0,880.0
T8529,Sports,20-01-2025 00:34,0.355069417,0.771760523,0.904284394,,12907.0,4593.0,27.0
T34252,Cloud,08-01-2025 01:02,0.669147862,0.542219625,0.599827472,0.166932916,13117.0,940.0,
T12869,AI,01-01-2025 10:00,-0.633478915,0.885435072,0.690806746,0.355936828,8783.0,,987.0
T17258,AI,22-01-2025 20:33,-0.045750118,0.423525067,0.96882655,,,1057.0,483.0
T4163,,22-01-2025 03:43,0.953224113,0.56308826,0.740225313,0.125853773,10278.0,3453.0,807.0
T32148,Cloud,16-01-2025 16:25,-0.361820067,0.922626102,0.089534958,0.996807761,14872.0,,988.0
T16121,Finance,06-01-2025 22:00,0.688897923,0.79062151,0.820072179,0.683963132,881.0,2599.0,677.0
T224,AI,07-01-2025 12:10,-0.32908946,0.730523775,0.615097509,0.733031175,13469.0,2129.0,964.0
T14201,Finance,12-01-2025 01:36,-0.958614187,0.797960699,0.811038601,0.965486077,13736.0,109.0,125.0
T28938,Finance,06-01-2025 23:56,-0.35568445,0.224839698,0.521689059,0.90555158,13619.0,1398.0,964.0
T3320,Sports,15-01-2025 23:34,-0.582266816,0.854454958,0.030034926,0.268672145,19061.0,4696.0,342.0
T20776,AI,10-01-2025 05:37,0.689341974,0.148276013,0.738817355,0.108538278,1968.0,708.0,104.0
T20371,Cloud,04-01-2025 12:59,-0.887866708,0.903942554,0.955549035,0.692817096,10399.0,2134.0,478.0
T39640,Sports,09-01-2025 12:01,-0.752447767,0.105973168,0.998468038,,18146.0,453.0,888.0
T25382,Sports,21-01-2025 00:10,0.456844562,0.592567906,0.935459661,0.341633355,1951.0,253.0,698.0
T29216,Sports,17-01-2025 00:59,0.753543844,0.124812269,0.762686001,0.092354251,7526.0,1379.0,193.0
T7970,Cloud,19-01-2025 14:19,,0.00474296,0.544119206,0.471441534,3266.0,1852.0,481.0
T26308,Finance,13-01-2025 15:57,0.034107905,0.628151399,0.470463144,0.746423538,,2209.0,850.0
T17117,Finance,13-01-2025 14:50,-0.407731831,0.055023159,0.804334324,0.71656195,6049.0,4529.0,195.0
T28206,Sports,05-01-2025 12:45,,,0.590170574,0.176265422,71.0,1031.0,161.0
T5528,Sports,20-01-2025 20:13,-0.973383659,0.560368159,0.960466008,0.121802858,2235.0,2169.0,216.0
T26103,Finance,17-01-2025 02:17,-0.170255056,0.088798451,0.334561379,0.49274694,19498.0,1979.0,
T35343,Sports,22-01-2025 22:28,0.458467581,0.754884005,0.150030428,0.897583606,12124.0,789.0,
T25700,,11-01-2025 14:35,-0.884630906,0.007622895,0.773452431,0.479185648,5902.0,,748.0
T35286,Sports,24-01-2025 00:47,-0.281861658,0.58938039,0.717949197,0.944298251,6582.0,1869.0,121.0
T38790,Finance,06-01-2025 19:06,-0.271144781,0.543608799,0.857715828,0.200126498,5483.0,1125.0,499.0
T35583,Finance,22-01-2025 09:50,-0.398810333,0.26912267,0.895211175,0.804998266,18213.0,2617.0,908.0
T12824,Cloud,20-01-2025 16:10,0.70076387,0.687240832,0.143045822,0.159310371,1173.0,3941.0,763.0
T5236,AI,12-01-2025 13:19,0.696201517,0.227169821,0.925250341,0.627024522,16212.0,4002.0,138.0
T34314,Sports,06-01-2025 13:44,0.391769966,0.728408136,0.757576515,0.02410818,3057.0,2746.0,582.0
T33281,AI,19-01-2025 03:51,-0.633780593,,0.965597256,0.213605514,11428.0,4346.0,426.0
T29477,AI,12-01-2025 00:44,0.136354658,0.218066917,0.528834206,0.536170111,17657.0,2483.0,77.0
T22377,Finance,13-01-2025 21:50,0.621332998,0.5560466,0.966699005,0.30481666,19725.0,3598.0,531.0
T37449,Sports,22-01-2025 01:11,-0.856824097,0.921851273,0.90295865,0.799742638,,1339.0,610.0
T30978,Sports,09-01-2025 05:37,-0.063526839,0.233327074,,0.391760598,234.0,3411.0,628.0
T34860,Cloud,11-01-2025 19:38,-0.999239358,0.475039535,0.483360433,0.874894536,14777.0,211.0,
T20416,Finance,12-01-2025 20:11,0.131933513,0.58303894,0.048514239,0.901471177,3524.0,2021.0,642.0
T16692,AI,08-01-2025 11:20,-0.105994337,0.697011077,0.25605261,0.917088356,14155.0,4696.0,446.0
T1278,Sports,16-01-2025 06:56,-0.920585288,0.587855938,0.557268965,0.272308779,13608.0,645.0,41.0
T38419,Cloud,22-01-2025 11:22,-0.502374395,0.197123894,0.357366901,0.30210835,14997.0,2099.0,350.0
T24346,Cloud,,0.628645551,0.571248391,0.385987626,,1729.0,1067.0,71.0
T4620,Sports,20-01-2025 10:14,-0.713326152,,0.638236727,0.464177862,14706.0,2722.0,758.0
T14873,Cloud,03-01-2025 20:42,0.891190319,0.959054091,0.727457088,0.88875033,3232.0,314.0,910.0
T36342,AI,14-01-2025 02:27,-0.522766298,0.401108351,0.065008254,0.015530791,2116.0,869.0,638.0
T36449,AI,23-01-2025 20:21,0.354381627,0.276413757,0.373092589,0.338339046,859.0,,405.0
T9206,AI,10-01-2025 12:29,0.860203567,0.806589348,0.798224291,0.223059673,,4194.0,738.0
T8382,AI,02-01-2025 16:28,0.839545375,0.613515417,0.688987779,0.120680561,16148.0,654.0,815.0
T5220,Finance,,0.249109246,0.05886059,0.314162953,0.118834363,158.0,4609.0,601.0
T13294,AI,16-01-2025 06:25,0.763449296,0.473903004,0.179858296,0.25059427,6287.0,2257.0,796.0
T17804,Finance,14-01-2025 10:25,0.448487946,0.002437554,0.3634201,0.751034798,7148.0,4979.0,43.0
,AI,11-01-2025 08:10,-0.202135785,0.211018067,0.661663773,,16643.0,4921.0,421.0
T12061,Finance,16-01-2025 09:33,0.076911139,0.652197158,0.137574984,0.117070382,10523.0,2038.0,644.0
T12676,AI,08-01-2025 18:33,0.001231233,0.099706058,0.00176122,0.489569133,6907.0,607.0,306.0
,Finance,06-01-2025 12:26,-0.994658685,0.535378581,0.9835916,0.716060674,,2775.0,131.0
,Finance,19-01-2025 05:29,-0.65670754,0.775069867,0.63234786,,5544.0,921.0,542.0
T35534,Finance,07-01-2025 12:09,,0.110690359,0.822441689,0.479389251,,1095.0,57.0
T16074,Finance,03-01-2025 14:26,-0.186790679,0.13671186,0.536291547,,8687.0,,694.0
T17439,Sports,,0.299019413,0.166323023,0.193132104,0.495133501,4858.0,2257.0,578.0
,AI,08-01-2025 03:13,-0.270062109,,0.507813429,0.572775464,14983.0,1076.0,274.0
T14146,AI,07-01-2025 19:48,-0.5610032,0.93962853,0.003203122,0.358272363,16373.0,2022.0,391.0
T23004,,06-01-2025 23:38,-0.208886398,0.827403891,0.69027246,0.373583763,3656.0,395.0,696.0
T35564,AI,,-0.413102366,0.926560524,0.838439286,0.881165778,2731.0,3907.0,907.0
T24191,AI,23-01-2025 15:47,-0.557196213,0.740154236,0.689170942,0.648660892,,682.0,351.0
T27053,Cloud,01-01-2025 16:24,0.914200542,0.656497549,0.75096541,0.212386099,,4255.0,456.0
T4565,Finance,03-01-2025 18:06,-0.389631305,0.613422284,0.525931848,0.398031363,,4995.0,435.0
T36606,Cloud,03-01-2025 08:14,0.282819368,0.167243551,0.999183313,0.678179731,12467.0,1549.0,213.0
T24420,Sports,01-01-2025 05:49,,0.251852876,0.526264714,0.261304865,3924.0,1884.0,233.0
T25776,Finance,19-01-2025 07:17,,0.22530403,0.709051969,0.153477336,13585.0,3872.0,229.0
T8323,AI,10-01-2025 21:39,,0.335032799,0.888033252,0.287578559,,1190.0,173.0
T336,Sports,01-01-2025 10:01,-0.847442621,0.72178817,0.576012637,0.489449444,318.0,3170.0,905.0
T20929,Sports,03-01-2025 07:45,0.968554803,0.208502639,,0.78420551,14696.0,4649.0,15.0
T6884,AI,06-01-2025 13:04,-0.835754927,0.474039187,0.624372771,,12886.0,3668.0,578.0
T4455,Finance,07-01-2025 11:08,-0.895113851,0.031193454,0.03724676,0.737997576,10359.0,2964.0,855.0
T23841,Sports,12-01-2025 05:33,0.342789617,0.923454941,0.28681798,0.364237931,19102.0,2983.0,610.0
T1846,Finance,01-01-2025 11:33,0.379807317,0.102607223,0.003366521,0.853873847,7114.0,1813.0,585.0
T38946,Sports,06-01-2025 10:43,-0.01335639,0.669017121,0.789110099,0.960512947,580.0,3571.0,330.0
T18973,Finance,19-01-2025 13:25,0.53285665,,0.824691635,0.056938215,16719.0,1536.0,50.0
T23961,Cloud,22-01-2025 19:02,-0.181014197,0.912981788,0.946349382,0.309992847,12936.0,4821.0,500.0
T16104,Sports,22-01-2025 00:40,0.058915491,0.933204827,0.929419676,0.273162191,17500.0,2291.0,538.0
T6393,AI,18-01-2025 02:18,-0.688908564,0.629854648,0.090444887,0.135021504,13272.0,2190.0,864.0
T7713,Finance,,,0.647124257,0.825125185,,15147.0,3955.0,736.0
T16406,Cloud,,-0.247404373,0.925512039,0.471109368,0.639821956,18217.0,899.0,344.0
T39752,Cloud,16-01-2025 02:31,-0.281093366,0.605812283,0.753261007,0.856032825,5582.0,49.0,66.0
T27442,Finance,12-01-2025 23:11,0.247021989,0.474048019,0.05450811,0.309782023,6682.0,2942.0,707.0
T37127,AI,03-01-2025 10:15,0.574344985,0.49282051,0.836344809,0.258141103,6014.0,4813.0,988.0
T29034,Sports,,-0.12319031,0.857251681,0.498272681,0.493286581,5392.0,740.0,363.0
T14201,AI,03-01-2025 12:43,-0.973137367,0.762456294,0.598490018,0.28729055,6526.0,614.0,471.0
T1686,Sports,14-01-2025 18:37,0.853042425,0.5789147,0.694213719,0.938801425,8664.0,2530.0,866.0
,Finance,17-01-2025 03:34,-0.885613359,0.243226717,0.412837951,0.100462617,10880.0,4753.0,113.0
T27683,Sports,,0.019311138,0.856492269,0.419743881,0.171911594,16094.0,836.0,649.0
T21554,Sports,23-01-2025 03:23,,0.156349851,0.470302487,0.178426025,6584.0,1855.0,91.0
T7891,Cloud,05-01-2025 07:15,-0.152097377,0.902934578,0.949088599,0.63502231,1251.0,3420.0,454.0
T18058,Finance,13-01-2025 16:32,-0.696813786,0.961171278,0.139006639,0.623894993,8560.0,2148.0,826.0
T35680,AI,02-01-2025 03:44,0.092144373,0.113352066,0.964351621,0.422512595,16519.0,1219.0,410.0
T23434,Finance,04-01-2025 08:05,0.05581843,0.945621487,0.91953218,0.175593672,4135.0,1183.0,310.0
T3913,Finance,07-01-2025 00:42,0.366618588,,0.822757157,0.486361392,2518.0,2586.0,886.0
T7880,Sports,22-01-2025 21:33,-0.454059711,0.535361587,0.174860837,0.673122062,1761.0,2476.0,673.0
,Sports,01-01-2025 03:12,-0.080247377,0.331892741,0.753975061,0.300367553,1953.0,611.0,952.0
T26332,Sports,02-01-2025 04:04,0.020686588,0.128426242,0.595165203,0.354213203,12375.0,2728.0,171.0
T7899,Finance,23-01-2025 09:05,0.323074172,0.994548567,,0.272061596,16479.0,3610.0,229.0
T32266,Finance,14-01-2025 07:12,-0.932941781,,0.741809494,0.851833012,6204.0,1895.0,790.0
T9871,AI,13-01-2025 11:05,-0.71869115,0.939474223,0.512416658,0.798572235,12916.0,1596.0,92.0
T19889,Sports,13-01-2025 08:05,-0.455738201,0.054059894,0.658522742,0.535958648,17092.0,,96.0
T16821,Sports,15-01-2025 13:40,-0.095420053,0.956545868,0.450550169,0.669994659,7396.0,1640.0,579.0
,AI,07-01-2025 12:47,-0.073139735,0.637455151,0.780349173,0.201411677,4822.0,355.0,877.0
