tweet_id,user_id,tweet_text,timestamp,timestamp.1,likes,retweets,replies,impressions,engagement
T24019,8066.0,Love this!!! 😊,api,02-01-2025 02:19,18022.0,173.0,760.0,1677.0,1374.0
T32368,6805.0,Good & Bad mixed!!!,android,03-01-2025 07:15,11258.0,2134.0,380.0,1759.0,
T13032,2244.0,Good & Bad mixed!!!,api,02-01-2025 01:30,18422.0,1267.0,990.0,2367.0,
T13908,5031.0,Love this!!! 😊,ios,22-01-2025 20:46,10701.0,4507.0,153.0,606.0,1218.0
T22901,6393.0,Good & Bad mixed!!!,android,08-01-2025 07:53,2372.0,3128.0,939.0,2301.0,644.0
T37067,6128.0,Error###Detected,web,12-01-2025 01:25,,1602.0,251.0,2460.0,1808.0
T37306,9926.0,Testing!!!@@@###,android,23-01-2025 03:22,10443.0,4993.0,395.0,926.0,486.0
T29585,9846.0,Love this!!! 😊,ios,23-01-2025 20:53,12627.0,892.0,923.0,2808.0,1357.0
T7249,9046.0,Great product!!! #AI,api,17-01-2025 14:08,10976.0,,232.0,2369.0,1856.0
T37623,8632.0,Worst service ever :(,android,06-01-2025 09:58,5435.0,4825.0,,1178.0,1540.0
T296,,Good & Bad mixed!!!,api,17-01-2025 21:41,15034.0,1846.0,579.0,811.0,1240.0
T26361,,Spark > Hadoop ???,ios,20-01-2025 09:34,4768.0,2277.0,62.0,782.0,285.0
T7814,4680.0,Love this!!! 😊,api,21-01-2025 21:38,8741.0,2742.0,513.0,1995.0,1019.0
T13988,6515.0,Great product!!! #AI,ios,14-01-2025 00:31,1110.0,3799.0,637.0,1957.0,20.0
T35310,6892.0,Spark > Hadoop ???,api,22-01-2025 08:11,16074.0,4477.0,495.0,395.0,168.0
T36083,7727.0,Null?? value??,ios,01-01-2025 10:45,616.0,4683.0,758.0,2860.0,1438.0
T3587,4068.0,,api,20-01-2025 21:57,925.0,378.0,351.0,413.0,1419.0
