user_id,country,topic_category,account_created_date,followers_count,following_count,likes_count,shares_count,posts_count,verified
9001.0,USA,finance,,36196.0,4047.0,1118.0,374.0,854.0,Y
4869.0,USA,politics,19-01-2025 21:06,74415.0,2211.0,1641.0,124.0,835.0,
3019.0,UK,sports,21-01-2025 07:37,,2234.0,620.0,311.0,61.0,Y
3107.0,Canada,finance,04-01-2025 19:32,14433.0,3954.0,1442.0,274.0,306.0,Y
3494.0,UK,finance,15-01-2025 16:07,59970.0,3207.0,1535.0,88.0,955.0,N
6014.0,UK,finance,19-01-2025 10:14,99007.0,3567.0,991.0,341.0,755.0,N
3918.0,Canada,politics,09-01-2025 17:26,32008.0,4331.0,1711.0,130.0,137.0,N
1965.0,Germany,sports,12-01-2025 22:16,73191.0,3273.0,1851.0,194.0,70.0,N
7844.0,India,sports,14-01-2025 17:59,85624.0,,37.0,187.0,315.0,Y
5994.0,UK,politics,01-01-2025 01:52,11517.0,2003.0,1372.0,102.0,539.0,Y
7762.0,UK,tech,04-01-2025 05:12,,1611.0,880.0,406.0,676.0,Y
7339.0,UK,tech,04-01-2025 23:04,72437.0,2437.0,130.0,411.0,260.0,N
1862.0,India,sports,23-01-2025 12:12,56441.0,4192.0,816.0,38.0,,Y
9816.0,USA,tech,14-01-2025 18:31,39209.0,951.0,1340.0,383.0,680.0,Y
2055.0,India,politics,15-01-2025 23:46,29822.0,2325.0,131.0,227.0,361.0,Y
1525.0,USA,tech,06-01-2025 05:37,44226.0,864.0,1635.0,158.0,,N
3754.0,Canada,politics,13-01-2025 16:23,31252.0,4968.0,243.0,74.0,384.0,
7551.0,USA,finance,21-01-2025 06:41,78073.0,1111.0,1655.0,167.0,949.0,Y
3566.0,USA,sports,06-01-2025 04:28,61362.0,527.0,961.0,299.0,569.0,N
1883.0,Germany,politics,09-01-2025 19:35,26138.0,943.0,681.0,223.0,854.0,Y
3218.0,USA,politics,10-01-2025 07:34,38769.0,4127.0,584.0,496.0,124.0,N
5631.0,UK,,21-01-2025 22:59,30532.0,3288.0,1806.0,377.0,371.0,N
4600.0,UK,,19-01-2025 09:34,24756.0,4637.0,1072.0,376.0,726.0,Y
3825.0,Germany,politics,08-01-2025 20:43,58705.0,4774.0,1590.0,190.0,853.0,Y
4024.0,,politics,05-01-2025 18:02,62620.0,848.0,751.0,255.0,102.0,Y
3617.0,Germany,sports,18-01-2025 16:39,38915.0,4869.0,192.0,347.0,142.0,Y
7802.0,USA,finance,07-01-2025 23:28,86039.0,2271.0,1048.0,440.0,374.0,N
,Germany,,23-01-2025 21:49,73345.0,2088.0,1150.0,168.0,400.0,Y
8717.0,USA,tech,08-01-2025 06:34,97008.0,4704.0,577.0,45.0,253.0,N
4349.0,USA,politics,18-01-2025 23:04,13685.0,1658.0,1077.0,342.0,,N
8324.0,Canada,finance,20-01-2025 12:44,43612.0,2567.0,123.0,358.0,749.0,Y
6107.0,USA,sports,05-01-2025 17:54,70260.0,4729.0,1731.0,184.0,960.0,N
,,tech,11-01-2025 06:51,65626.0,4715.0,1802.0,270.0,148.0,Y
1379.0,Germany,sports,22-01-2025 04:28,10225.0,3804.0,264.0,188.0,161.0,Y
5355.0,USA,politics,07-01-2025 10:31,3907.0,2543.0,1491.0,321.0,32.0,N
9886.0,UK,tech,15-01-2025 00:39,86282.0,3747.0,507.0,143.0,418.0,N
4978.0,Germany,tech,18-01-2025 04:20,6439.0,2142.0,587.0,167.0,490.0,N
4285.0,Canada,sports,21-01-2025 04:25,16941.0,2205.0,,114.0,,Y
1602.0,UK,finance,11-01-2025 05:53,91111.0,2403.0,421.0,239.0,612.0,Y
6068.0,India,finance,19-01-2025 16:27,21894.0,3755.0,900.0,366.0,,N
7287.0,India,tech,01-01-2025 09:15,95391.0,714.0,961.0,331.0,161.0,N
3022.0,Germany,politics,16-01-2025 07:22,1982.0,,730.0,48.0,71.0,Y
3227.0,Canada,finance,06-01-2025 04:21,53610.0,4362.0,620.0,466.0,133.0,N
,India,tech,14-01-2025 05:02,41937.0,4061.0,1194.0,24.0,,Y
7377.0,Germany,tech,02-01-2025 20:40,20004.0,4447.0,1359.0,280.0,380.0,N
3004.0,Canada,finance,19-01-2025 19:21,63847.0,951.0,756.0,51.0,28.0,N
2779.0,India,sports,23-01-2025 09:32,51827.0,3658.0,190.0,226.0,154.0,N
7607.0,,politics,03-01-2025 01:15,85209.0,826.0,66.0,309.0,542.0,N
8542.0,UK,politics,05-01-2025 00:55,72824.0,3486.0,773.0,122.0,287.0,Y
3012.0,Canada,tech,20-01-2025 10:56,8307.0,3928.0,1190.0,51.0,652.0,Y
2333.0,USA,sports,23-01-2025 15:57,33882.0,275.0,1339.0,224.0,546.0,N
8836.0,India,politics,12-01-2025 00:26,10517.0,,1250.0,,600.0,Y
3737.0,UK,politics,18-01-2025 21:20,96642.0,2333.0,1857.0,467.0,805.0,N
5436.0,Germany,politics,12-01-2025 09:25,67843.0,1854.0,997.0,110.0,741.0,
5223.0,UK,politics,07-01-2025 09:18,,2245.0,1192.0,384.0,995.0,N
8835.0,India,finance,11-01-2025 18:52,52278.0,,944.0,208.0,481.0,N
3772.0,India,finance,02-01-2025 10:05,19147.0,356.0,,399.0,476.0,N
6839.0,Canada,sports,14-01-2025 17:48,98677.0,3567.0,423.0,419.0,181.0,Y
6657.0,India,,08-01-2025 18:57,1725.0,4168.0,1375.0,187.0,531.0,N
2931.0,India,tech,05-01-2025 07:03,3740.0,1975.0,1591.0,486.0,997.0,N
3634.0,India,finance,20-01-2025 15:00,11545.0,875.0,1440.0,428.0,493.0,Y
,Germany,politics,12-01-2025 01:15,91518.0,439.0,1685.0,30.0,277.0,N
5451.0,Canada,politics,18-01-2025 08:03,40150.0,4524.0,1742.0,427.0,553.0,Y
3108.0,,sports,14-01-2025 07:23,,2492.0,1021.0,131.0,813.0,Y
2309.0,UK,sports,13-01-2025 05:16,87418.0,2371.0,1360.0,111.0,897.0,
9851.0,Canada,sports,16-01-2025 21:43,50326.0,143.0,151.0,293.0,762.0,N
6918.0,Germany,tech,21-01-2025 18:15,75039.0,4590.0,1629.0,24.0,656.0,
9302.0,UK,tech,12-01-2025 17:24,60061.0,2334.0,1885.0,283.0,114.0,Y
2466.0,UK,finance,17-01-2025 16:49,61595.0,1519.0,539.0,272.0,,Y
1216.0,UK,politics,02-01-2025 00:16,77689.0,3950.0,608.0,269.0,731.0,
7995.0,UK,tech,17-01-2025 05:36,90462.0,222.0,1421.0,,692.0,Y
3868.0,India,tech,20-01-2025 01:12,87786.0,4111.0,1372.0,,866.0,N
3933.0,Canada,,03-01-2025 14:57,4519.0,2012.0,1680.0,489.0,367.0,Y
